"TCP" "NDN"
59.7072 30.4332
31.6826 37.3776
18.6533 24.7142
45.9506 38.03
22.4507 16.2932
37.3518 31.0134
60.1286 49.7119
58.1186 38.0467
39.1405 42.9541
29.3746 32.2307
25.7697 37.4188
77.8784 61.1174
54.0274 58.6252
51.5438 60.0647
66.7663 38.3642
20.8127 28.2864
59.4509 63.2735
65.2826 55.6
48.4305 31.7303
28.4045 30.8111
46.5358 56.8782
47.8083 36.4106
63.3692 57.8099
55.9477 27.1684
70.8745 50.4505
39.0261 43.0552
52.4939 36.6731
37.8972 34.0374
64.4143 60.3918
30.2544 31.9908
65.863 52.8101
35.0284 32.4525
27.1064 45.3973
33.4194 35.6964
25.454 30.9126
68.2002 39.0188
25.784 45.9597
35.0441 45.0003
26.6122 46.281
51.795 47.4133
18.5892 10.9704
52.7673 51.6483
32.5437 41.4836
20.4125 23.7178
81.4157 49.9645
31.9866 33.5812
85.0184 44.07
65.0722 51.182
43.6642 40.3777
39.2368 28.4331
36.412 39.7488
37.2681 36.2236
33.4553 36.0275
21.792 23.7462
49.1429 52.3097
47.6532 21.1776
40.6151 34.9761
48.1667 40.3186
29.2682 45.9441
31.7517 41.878
29.5579 34.9629
40.7529 43.601
75.9605 55.6095
61.0793 40.0309
73.6561 58.8983
48.0046 32.9497
56.4737 28.1956
41.0308 28.58
45.4339 51.0717
35.6351 34.4877
56.1475 41.0362
62.3668 36.3414
88.2495 36.5275
23.0484 40.5375
42.9593 38.7268
36.5147 46.654
22.4753 11.3565
54.4785 44.4918
21.8851 24.7885
18.3998 24.0316
35.1523 43.5393
58.5015 50.6557
32.0878 46.4625
73.8615 41.159
27.5043 29.9507
62.7844 34.7328
25.3325 27.5241
27.7275 45.2209
98.6808 44.6762
101.414 33.6052
33.3742 36.7806
37.9978 37.9446
31.8071 35.5833
21.8033 38.1577
40.2343 41.5096
47.689 35.956
33.5425 35.9926
24.5743 18.4449
28.1746 33.428
75.6987 35.1044
31.9419 37.661
32.4297 36.788
40.137 37.5759
24.2131 18.098
31.6112 40.2266
53.989 41.9649
47.7678 44.7381
18.5254 22.9675
31.349 35.3561
39.8622 37.9918
41.1394 17.6887
24.5493 36.3002
57.166 49.8938
25.4753 39.3527
32.5817 35.4571
37.0769 52.0518
19.3674 24.316
23.6122 50.9999
26.8109 48.5359
42.0659 38.0976
49.7423 42.2675
43.5366 41.2279
59.0978 41.728
18.4687 25.4329
30.9165 32.6939
40.8624 41.7387
49.2801 44.4763
21.5225 47.9284
62.3053 53.7112
47.5022 47.2754
54.885 38.2597
37.3686 38.5487
47.954 51.4367
41.9811 12.4949
21.7034 21.4713
18.327 10.0827
38.2273 42.1724
26.1734 27.4834
62.473 42.6294
49.4048 42.6854
31.5838 41.7882
30.8861 40.1897
61.5074 45.0814
41.0344 38.4007
38.7019 49.2147
55.4346 38.4939
32.7429 38.7336
30.9118 31.6966
58.6738 32.2924
31.583 54.7176
41.9378 15.4213
51.6972 63.6387
40.6914 27.9179
25.2077 50.2281
31.9913 34.8343
30.1954 48.9695
33.8427 39.4846
43.963 48.6249
21.3252 22.5374
22.3333 23.5388
64.206 58.7184
37.2466 65.622
68.9107 63.8609
39.3651 54.7759
27.1494 20.6491
51.7918 56.6316
54.0607 70.1229
40.6616 35.4657
31.349 37.3067
19.8707 12.5207
29.6828 42.3569
32.8886 42.2999
18.7325 21.6177
35.1445 30.7347
55.8107 50.5032
37.3186 31.0651
20.4833 16.6221
44.285 41.2808
48.4752 31.1065
28.6252 32.6718
41.3521 37.1506
42.2278 36.2614
46.1579 68.9827
30.1848 29.5266
88.1202 58.2079
30.6623 34.9265
90.7523 68.1235
87.6923 69.147
75.045 46.2426
48.0982 35.55
86.8311 59.4527
43.3776 39.1423
33.8249 25.8281
24.1966 49.9746
47.0145 41.4084
45.7437 25.7777
29.5976 45.3748
37.4583 34.3579
30.5147 38.127
47.7852 53.6118
43.7276 49.7436
39.9017 44.2713
56.932 49.1527
28.4137 23.5851
52.5586 35.8809
34.3671 60.8421
56.4495 55.2951
25.1893 15.3594
27.7087 39.0151
42.6268 42.4895
53.1556 35.5879
33.5741 28.9093
19.4855 9.07806
43.8439 42.2393
45.8364 32.1147
26.8305 42.1332
29.9919 38.7885
68.4783 47.2857
23.3105 27.9082
65.7564 47.138
31.5972 34.4772
40.3008 41.0548
18.3534 19.5421
25.8118 30.7292
45.0676 45.6506
51.0615 37.5582
23.1894 19.9312
32.4073 32.8723
52.7776 60.8868
38.1725 24.8191
58.4608 44.9313
49.0243 39.8027
37.3686 38.5486
36.0063 24.2073
36.581 31.4404
22.2576 43.0242
22.965 43.8108
25.8571 25.6663
40.8858 46.5108
33.7297 39.3015
24.4683 32.6884
51.0121 43.358
39.4077 48.9117
29.3194 31.718
41.7815 44.1052
60.0512 45.2909
46.5133 39.8102
26.4258 28.2365
54.28 44.9934
28.1484 15.8548
19.6491 17.2177
38.8125 46.1263
48.1316 40.7608
18.8695 22.3736
33.8123 45.0733
26.333 33.6973
52.1169 31.1798
31.6651 38.2687
31.0608 31.1975
34.0368 31.2443
